Address	Original Data	Edited Data
0xE238E	44 98 E8 8F C3 24 E8 8F C2 24 03 00 64 A8 04 00 65 A0	45 98 C4 92 64 98 D8 8F C2 24 03 00 45 A8 07 00 44 A8
0xE23CE	44 98 E8 8F C3 24 E8 8F C2 24 03 00 64 A8 04 00 65 A0	45 98 C4 92 64 98 08 90 C2 24 03 00 45 A8 07 00 44 A8
0xE23FE	44 98 E8 8F C3 24 E8 8F C2 24 03 00 64 A8 04 00 65 A0	45 98 C4 92 64 98 08 90 C2 24 03 00 45 A8 07 00 44 A8
0xE2512	44 98 38 90 23 25 38 90 22 25 03 00 64 A8 04 00 65 A0	45 98 C4 92 64 98 F8 8F 22 25 03 00 45 A8 07 00 44 A8
0x15E0AC	ＨＰ回復魔法を使用します。 【消費ＭＰ ： %d】	Cast an HP recovery spell. [MP Cost: %d]
0x15E0DC	状態異常魔法（金化）を使用します。 【消費ＭＰ ： %d】	Cast the Goldification status condition. [MP Cost: %d]
0x15E114	状態異常魔法（銀化）を使用します。 【消費ＭＰ ： %d】	Cast the Silverization status condition. [MP Cost: %d]
0x15E14C	状態異常魔法（凍結）を使用します。 【消費ＭＰ ： %d】	Cast the Freeze status condition. [MP Cost: %d]
0x15E184	状態異常回復魔法を使用します。 【消費ＭＰ ： %d】	Cast a status recovery spell. [MP Cost: %d]
0x15E1B8	攻撃魔法を使用します。 【消費ＭＰ ： %d】	Cast an attack spell. [MP Cost: %d]
0x15E1FC	移動可能な範囲を表示しています。 目標地点を選んでください。	This shows where you can move to. Select a tile to move.
0x15E238	１回の行動で移動できる範囲を表示しています。 選択した地点に仮移動させることができます。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's move range from a single action. You can temporarily move the unit. For other range types, press the L Trigger.
0x15E2BC	射程範囲を表示しています。 攻撃・魔法の対象を選んでください。	Spell range is highlighted. Select a target for your action.
0x15E2FC	射程範囲を表示しています。 攻撃・魔法の目標を選んでください。	Attack range is highlighted. Select a target for your action.
0x15E33C	召喚可能な範囲を表示しています。 召喚する地点を選んでください。	Select a highlighted tile to summon the Natial.
0x15E37C	効果の及ぶ範囲を表示しています。 ○ボタンを押すと、魔法を実行します。	This is the area of effect. Press the Circle button to cast the spell.
0x15E3C4	現在の地点から移動せずに、 攻撃できる範囲を表示しています。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's attack range without moving. For other range types, press the L Trigger.
0x15E42C	現在の地点から移動せずに、 魔法を使える範囲を表示しています。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's spell range without moving. For other range types, press the L Trigger.
0x15E494	現在の地点から移動せずに、 魔法効果が届く範囲を表示しています。 地点を選択すると、その地点に効果を及ぼす 魔法の使用場所を表示します。	This is the unit's spell effect range without moving. Selecting a tile shows where they can target their spell to affect this tile.
0x15E51C	現在の地点から移動せずに、 魔法効果が届く範囲を表示しています。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's spell effect range without moving. For other range types, press the L Trigger.
0x15E588	移動＋攻撃の射程範囲を表示しています。 %G目標地点を選択していくと、 実際に行動することが出来ます。 %DＬボタンで範囲表示の種類を切り替えます。	This is your unit's move & attack range. %GSelect a target to see where you could attack from. %DFor other range types, press the L Trigger.
0x15E618	移動＋攻撃の射程範囲を表示しています。 地点を選択すると、その地点に 攻撃できる位置を表示します。 Ｌボタンで範囲表示の種類を切り替えます。 	This is the unit's move & attack range. Selecting a tile shows where they could attack from. For other range types, press the L Trigger. 
0x15E6A4	移動＋魔法の射程範囲を表示しています。 %G目標地点を選択していくと、 実際に行動することが出来ます。 %DＬボタンで範囲表示の種類を切り替えます。	This is your unit's move & spell range. %GSelect a target to see where you could cast from. %DFor other range types, press the L Trigger.
0x15E734	移動＋魔法の射程範囲を表示しています。 地点を選択すると、その地点に対して 魔法を使える位置を表示します。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's move & spell range. Selecting a tile shows where they could cast from. For other range types, press the L Trigger.
0x15E7C8	移動＋魔法効果の届く範囲を表示しています。 %G目標地点を選択していくと、 実際に行動することが出来ます。 %DＬボタンで範囲表示の種類を切り替えます。	This is your unit's move & effect range. %GSelect a tile to see where you could cast from to hit it. %DFor other range types, press the L Trigger.
0x15E85C	移動＋魔法効果の届く範囲を表示しています。 地点を選択すると、その地点に効果を及ぼす 魔法の使用場所を表示します。 Ｌボタンで範囲表示の種類を切り替えます。	This is the unit's move & effect range. Selecting a tile shows where they could cast from to hit it. For other range types, press the L Trigger.
0x15E8F8	ユニットが影響を及ぼす可能性のある 全ての範囲を表示しています。 Ｌボタンで範囲表示の種類を切り替えます。	These are all the tiles the unit could affect with one action. For other range types, press the L Trigger.
0x15E964	ユニットが影響を及ぼす可能性のある 全ての範囲を表示しています。	These are all the tiles the unit could affect with one action.
0x15E9A4	指定した対象に効果を与えられる、 魔法の目標を表示しています。	These are the valid cast targets to affect the selected tile.
0x15E9E4	先ほど指定した地点に 攻撃できる位置を表示しています。 地点を選択すると、移動を行います。	These tiles are where your unit could be for this attack. To move, press the Circle button.
0x15EA40	先ほど指定した地点に 攻撃できる位置を表示しています。	These tiles are where the unit could be to attack here.
0x15EA78	先ほど指定した地点に対して 魔法を使える位置を表示しています。 地点を選択すると、移動を行います。	These tiles are where your unit could cast their spell from. To move, press the Circle button.
0x15EADC	先ほど指定した地点に対して 魔法を使える位置を表示しています。	These tiles are where the unit could cast their spell from.
0x15EB1C	先ほど指定した地点に効果を及ぼす 魔法の使用場所を表示しています。 さらに地点を選択すると、選択した地点に 魔法を使える位置を表示します。	These are the tiles the spell could target for the effect to hit the selected tile. Choose one to see where the unit could cast from.
0x15EBA4	ネイティアルを消滅させてもよろしいですか？	Do you want to dispel this Natial?
0x15EBD0	%sは時間切れになりました。	%s has timed out.
0x15EC18	水位が戻りました。	Water level reset.
0x15EC2C	対戦を終了してワールド画面へ戻りますか？	End the match and return to the world map?
0x15EC74	ＭＰが足りません！	Insufficient MP!
0x15EC88	マスターではないため、選択できません。	%GOnly a Master can use this command.
0x15ECB0	%Gユニット数が上限に達したため、 これ以上召喚できません。	%GYou have too many Natials. Dispel one to summon another.
0x15ECEC	ネイティアルを召喚します。	Summon a new Natial.
0x15ED08	待機して、行動を終了します。	Standby to end your turn.
0x15ED28	攻撃を行います。	Fight another unit.
0x15ED3C	魔法を持っていないため、選択できません。	This unit doesn't have any spells.
0x15ED68	魔法を使用します。	Cast a spell.
0x15ED7C	ユニットの詳細情報を表示します。	View this unit's stats & details.
0x15EDA0	移動可能な範囲を表示します。	Display unit's movement range.
0x15EDC0	攻撃の射程範囲を表示します。	Display unit's attack range.
0x15EDE0	魔法の射程範囲を表示します。	Display unit's spell range.
0x15EE00	魔法効果の届く範囲を表示します。	Display unit's spell effect range.
0x15EE24	ユニットの影響範囲を表示します。	Display unit's area of effect.
0x15EE48	移動＋攻撃の射程範囲を表示します。	Display unit's move & attack range.
0x15EE6C	移動＋魔法の射程範囲を表示します。	Display unit's move & spell range.
0x15EE90	移動＋魔法効果の届く範囲を表示します。	Display unit's move & effect range.
0x15EEB8	ネイティアルを消滅させるコマンドです。 マスターのターン時に、 消滅させたい自軍ネイティアルの サブコマンドから使用します。	Dismiss any of your Natials. Useful for reducing maintenance costs. Select a Natial during the Master's turn to do this.
0x15EF34	ネイティアルを消滅させます。 維持コストを減らしたい時などに使用します。 自軍マスターのターン時にのみ、 実行することが可能です。	Dismiss any of your Natials. Useful for reducing maintenance costs. Select a Natial during the Master's turn to do this.
0x15EFB4	勝ち	Won
0x15EFBC	負け	Lost
0x15EFC4	%sは%sました	????
0x15EFD4	相打ちになりました	Draw, nobody wins.
0x15EFE8	%sは降伏しました	%s has surrendered.
0x15EFFC	降伏してもよろしいですか？	Do you want to surrender?
0x15F270	ランクアップボーナスとして、 追加マスター『ソーサレス』が フリー／ネットワークモードで 使用可能になりました。	As a rank-up bonus, you have unlocked the Sorceress Master for use in the Free and Network modes!
0x15F2E0	ランクアップボーナスとして、 追加マスター『タイラント』が フリー／ネットワークモードで 使用可能になりました。	As a rank-up bonus, you have unlocked the Tyrant Master for use in the Free and Network modes!
0x15F350	シナリオモードクリアを達成しました。	You have cleared Scenario Mode!
0x15F378	ボーナスとして、新たに４体の追加マスターが シナリオ／エキスパートモードで 使用可能になりました。	As a reward, you can now use four additional Masters in the Scenario and Expert modes!
0x15F3DC	エキスパートモードクリアを達成しました。	You have cleared Expert Mode!
0x15F408	ボーナスとして、新たに２体の追加マスターが シナリオ／エキスパートモードで 使用可能になりました。	As a reward, you can now use two additional Masters in the Scenario and Expert Modes!
0x15F46C	●総所要時間《５００時間》達成！	●Played for 500 hours!
0x15F490	●魔晶石占拠数《１０００個》達成！	●Captured 1,000 Crystal tiles!
0x15F4B4	●総消費ＭＰ《２００００ＭＰ》達成！	●Used 20,000 MP!
0x15F4DC	●待機回数（マスター）《１０００回》達成！	●Waited 500 times as a Master!
0x15F508	●攻撃回数（マスター）《５００回》達成！	●Attacked 500 times as a Master!
0x15F534	●魔法使用回数（マスター）《５００回》達成！	●Casted 500 spells as a Master!
0x15F564	●勝利回数《１００回》達成！	●Won 100 battles!
0x15F584	●死亡回数《１００回》達成…	●Lost 100 battles...
0x15F5A4	●パ・ランセル召喚数《１００体》達成！	●Summoned Pa-Rancell 100 times!
0x15F5CC	●ダ・カーム召喚数《１００体》達成！	●Summoned Da-Colm 100 times!
0x15F5F4	●エ・フェリオン召喚数《１００体》達成！	●Summoned Ae-Ferrion 100 times!
0x15F620	●ギア・ブロ召喚数《１００体》達成！	●Summoned Gia-Bro 100 times!
0x15F648	●ディ・アルマ召喚数《１００体》達成！	●Summoned D-Arma 100 times!
0x15F670	●バ・メード召喚数《１００体》達成！	●Summoned Ba-Mado 100 times!
0x15F698	●レキュー召喚数《１００体》達成！	●Summoned Requ 100 times!
0x15F6BC	●ネプトジュノー召喚数《１００体》達成！	●Summoned Neptjuno 100 times!
0x15F6E8	●ターブス召喚数《１００体》達成！	●Summoned Tarbyss 100 times!
0x15F70C	●ザミルペン召喚数《１００体》達成！	●Summoned Zamilpen 100 times!
0x15F734	●マーム召喚数《１００体》達成！	●Summoned Marme 100 times!
0x15F758	●テンターク召喚数《１００体》達成！	●Summoned Tentarch 100 times!
0x15F780	●ヘピタス召喚数《１００体》達成！	●Summoned Hepetus 100 times!
0x15F7A4	●オーンヴィーヴル召喚数《１００体》達成！	●Summoned Oonvievle 100 times!
0x15F7D0	●ブリックス召喚数《１００体》達成！	●Summoned Blyx 100 times!
0x15F7F8	●ダルンダラ召喚数《１００体》達成！	●Summoned Dullmdalla 100 times!
0x15F820	●ゼノスブリード召喚数《１００体》達成！	●Summoned Xenofiend 100 times!
0x15F84C	●グリオン召喚数《１００体》達成！	●Summoned Greon 100 times!
0x15F870	●ペリット召喚数《１００体》達成！	●Summoned Pelitt 100 times!
0x15F894	●キュリア・ベル召喚数《１００体》達成！	●Summoned Kyria-Bell 100 times!
0x15F8C0	●アモルタミス召喚数《１００体》達成！	●Summoned Amoltamis 100 times!
0x15F8E8	●ギュネ・フォス召喚数《１００体》達成！	●Summoned Guene-Foss 100 times!
0x15F914	●フィフネル召喚数《１００体》達成！	●Summoned Fifenall 100 times!
0x15F93C	●レグナ・クロックス召喚数《１００体》達成！	●Summoned Regna-Croix 100 times!
0x15F96C	●地のネイティアル撃退数《５００体》達成！	●Defeated 500 Earth Natials!
0x15F998	●水のネイティアル撃退数《５００体》達成！	●Defeated 500 Water Natials!
0x15F9C4	●火のネイティアル撃退数《５００体》達成！	●Defeated 500 Fire Natials!
0x15F9F0	●天のネイティアル撃退数《５００体》達成！	●Defeated 500 Heaven Natials!
0x15FA1C	●シナリオモードクリア！（ＮＯＲＭＡＬ）	●Cleared Normal Scenario Mode!
0x15FA48	●シナリオモードクリア！（ＨＡＲＤ）	●Cleared Hard Scenario Mode!
0x15FA70	●エキスパートモードクリア！	●Cleared Expert Mode!
0x15FA90	●フリーモード全マップ制覇！	●Cleared all Free Mode maps!
0x15FAB0	●ファイターでクリア！	●Fighter Clear!
0x15FAC8	●デュークでクリア！	●Duke Clear!
0x15FAE0	●ソードマンでクリア！	●Swordsman Clear!
0x15FAF8	●ナイトでクリア！	●Knight Clear!
0x15FB0C	●パラディンでクリア！	●Paladin Clear!
0x15FB24	●シャドウでクリア！	●Shadow Clear!
0x15FB3C	●レンジャーでクリア！	●Ranger Clear!
0x15FB54	●サベージでクリア！	●Savage Clear!
0x15FB6C	●シーフでクリア！	●Thief Clear!
0x15FB80	●バードでクリア！	●Bard Clear!
0x15FB94	●シスターでクリア！	●Sister Clear!
0x15FBAC	●ソーサラーでクリア！	●Sorcerer Clear!
0x15FBC4	●ウィッチでクリア！	●Witch Clear!
0x15FBDC	●モンクでクリア！	●Monk Clear!
0x15FBF0	●スピリットでクリア！	●Spirit Clear!
0x15FC08	●ビーストでクリア！	●Beast Clear!
0x15FC20	●ナイトメアでクリア！	●Nightmare Clear!
0x15FC38	●フロイラインでクリア！	●Fraulein Clear!
0x15FC54	●ロッドマスターでクリア！	●Rod Master Clear!
0x15FC70	●ストライダーでクリア！	●Strider Clear!
0x15FC8C	●クインビュートでクリア！	●Queen-Bute Clear!
0x15FCA8	●へヴィエッジでクリア！	●Heavy-Edge Clear!
0x15FCC4	●プリンセスでクリア！	●Princess Clear!
0x15FCDC	●プレイボーイでクリア！	●Playboy Clear!
0x15FCF8	●テクノクラートでクリア！	●Technocrat Clear!
0x15FD14	●グラップラーでクリア！	●Grappler Clear!
0x15FD30	●ジーニアスでクリア！	●Genius Clear!
0x15FD48	●ダークナイトでクリア！	●Dark Knight Clear!
0x15FD64	●ファイターでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Fighter!
0x15FD8C	●デュークでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Duke!
0x15FDB4	●ソードマンでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Swordsman!
0x15FDDC	●ナイトでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Knight!
0x15FE00	●パラディンでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Paladin!
0x15FE28	●シャドウでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Shadow!
0x15FE50	●レンジャーでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Ranger!
0x15FE78	●サベージでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Savage!
0x15FEA0	●シーフでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Thief!
0x15FEC4	●バードでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Bard!
0x15FEE8	●シスターでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Sister!
0x15FF10	●ソーサラーでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Sorcerer!
0x15FF38	●ウィッチでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Witch!
0x15FF60	●モンクでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Monk!
0x15FF84	●スピリットでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Spirit!
0x15FFAC	●ビーストでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Beast!
0x15FFD4	●ナイトメアでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Nightmare!
0x15FFFC	●フロイラインでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Fraulein!
0x160028	●ロッドマスターでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Rod Master!
0x160054	●ストライダーでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Strider!
0x160080	●クインビュートでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Queen-Bute!
0x1600AC	●へヴィエッジでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Heavy-Edge!
0x1600D8	●プリンセスでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Princess!
0x160100	●プレイボーイでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Playboy!
0x16012C	●テクノクラートでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Technocrat!
0x160158	●グラップラーでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Grappler!
0x160184	●ジーニアスでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Genius!
0x1601AC	●ダークナイトでクリア！（ＥＸＰＥＲＴ）	●Cleared Expert as Dark Knight!
0x1601D8	●スケーザ打倒！	●Bested Skeza!
0x1601EC	●ダッツ・ワット打倒！	●Bested Datz Watt!
0x160204	●ゴルダ・ナット打倒！	●Bested Golda Nut!
0x16021C	●メレーナ＆マギー打倒！	●Bested Melena & Maggie!
0x160238	●クラウン打倒！	●Bested Krown!
0x16024C	●カエデ打倒！	●Bested Maple!
0x16025C	●ルフィー打倒！	●Bested Luffy!
0x160270	●アジャン打倒！	●Bested Ajahn!
0x160284	●リー・リン打倒！	●Bested Leelynn!
0x160298	●ディセール打倒！	●Bested Desale!
0x1602AC	●ファーキル打倒！	●Bested Fakir!
0x1602C0	●アトミス打倒！	●Bested Atomis!
0x1602D4	●ユーリオ打倒！	●Bested Lapis!
0x1602E8	●ノクシー・メッド打倒！	●Bested Noxie Medd!
0x160304	●アフサーラ打倒！	●Bested Afshara!
0x160318	●ブロウマン打倒！	●Bested Browman!
0x16032C	●ベルヴァス打倒！	●Bested Belvas!
0x160340	●ゼーオット打倒！	●Bested Zeott!
0x160354	●ギル・ガンダロス打倒！	●Bested Gil Gandaros!
0x160370	●フェラル・ミリナ打倒！	●Bested Feral Myrina!
0x16038C	●ガドローム打倒！	●Bested Gadrome!
0x1603A0	●ライラ＆フー打倒！	●Bested Lyra & Fu!
0x1603B8	●ビュレナス打倒！	●Bested Byrenas!
0x1603CC	●ストラーゼ打倒！	●Bested Straze!
0x1603E0	●カクノス打倒！	●Bested Kakunos!
0x1603F4	●ミストロック打倒！	●Bested Mistlock!
0x16040C	●メルレット打倒！	●Bested Merlet!
0x160420	●マッザム打倒！	●Bested Mazzam!
0x160434	●スカーラット打倒！	●Bested Scarlet!
0x16044C	●ギド・カーン打倒！	●Bested Gid Karn!
0x160464	●トロッケン打倒！	●Bested Trocken!
0x160478	●クローネ打倒！	●Bested Krone!
0x16048C	●ウォルタン打倒！	●Bested Woltan!
0x1604A0	●マグナ・レック打倒！	●Bested Magna Wreck!
0x1604B8	●ファルマ打倒！	●Bested Pharma!
0x1604CC	●マーヤ打倒！	●Bested Maya!
0x1604DC	●ジアス打倒！	●Bested Zias!
0x1604EC	ヴァンテージマスター	Vantage Master
0x160504	シャイニングマスター	Shining Master
0x16051C	レジェンドマスター	Emblem Master
0x160530	グランドマスター	Ogre Master
0x160544	ネイティアルマスター	Monarch Master
0x16055C	グレートマスター	Lagoon Master
0x160570	スーパーマスター	Vandal Master
0x160584	エクセレントマスター	Advance Master
0x16059C	チックマスター	Arc Master
0x1605AC	ビギナーマスター	Fantasy Master
0x1605C0	プチマスター	Petit Master
0x1605D0	次へ	Next
0x1605D8	表示切替	Data Lists
0x1605E4	戻る	Back
0x1605EC	戦闘評価ポイント	Battle Evaluation
0x160606	所要時間	Duration
0x160610	日	D
0x160614	時間	H
0x16061C	分	M
0x160620	点	pt
0x160626	魔晶石占拠数	Tiles Claimed
0x160640	個	
0x160646	ＭＰ消費効率	MP Efficiency
0x160658	ボーナスポイント	Bonus Points
0x160684	ポイント総合	Overall Points
0x160696	戦闘評価ポイント	Battle Evaluation
0x1606AA	ボーナスポイント	Bonus Points
0x1606BE	今回の獲得ポイント	Total From Battle
0x1606D4	×２	x2
0x1606DC	×５	x5
0x1606F0	に昇格しました。	has been promoted.
0x160704	【%s】を手に入れた。 %s	You obtained the %s! %s
0x160734	リザルトを終了します。よろしいですか？	Do you want to exit the results screen?
0x16075C	対戦相手の準備が完了するまでしばらくお待ちください。	Please wait while your opponent prepares.
0x160FA8	ＤＥＦ %2d％ＵＰ	DEF UP ＋%2d％
0x160FBC	毎ターンＨＰ−3	−3HP Per Turn
0x160FCC	毎ターンＨＰ＋1	＋1HP Per Turn
0x16103C	%sは負けました。	%s lost the match.
0x161C7C	はい	Yes
0x161C84	いいえ	  No  
0x161C8C	決定	Confirm
0x161CC4	中断データは一度ロードすると削除されます。 ロードしてもよろしいですか？	Suspend data will be deleted once loaded. Do you want to load the data?
0x161D0C	新しくゲームを開始します。	Starting a new game.
0x161D28	ゲームデータを読み込み、続きから攻略を再開します。	Load save data and continue your adventure.
0x161D5C	【シナリオ】 物語を通して攻略を進めるモードです。	Experience the story of Vantage Master.
0x161D90	初めから攻略を開始します。	Start from the beginning.
0x161DAC	【ノーマル】 標準的な難易度です。歯応えのあるバトルが楽しめます。	Standard difficulty, great for your first playthrough.
0x161DF0	【ハード】 難易度は高めです。スリリングなバトルが楽しめます。	For those that find Normal not challenging enough, be prepared.
0x161E30	『空の軌跡』のキャラクターでプレイします。	Play as a character from Trails in the Sky.
0x161E5C	【ノーマル】 初期レベル１０。初心者でも安心な難易度です。	Start at level 10. A mode for beginners to Vantage Master.
0x161E98	【ハード】 初期レベル１０。中級者以上にお勧めの難易度です。	Start at level 10. A mode for intermediate players.
0x161ED4	【エキスパート】 究極のバトルが揃った特別なモードです。	An even harder challenge. Can you clear all 8 stages?
0x161F0C	初めから攻略を開始します。超上級者向け。	Start from the beginning. Be on your guard.
0x161F38	『空の軌跡』のキャラクターでプレイします。上級者以上にお勧め。	Play as a character from Trails in the Sky. Pray to Aidios.
0x161F78	【フリー】 好きなマップを選んで、自由な戦いが楽しめるモードです。	Choose any stage and customize what both players can use.
0x161FBC	【ネットワーク】 ネットワークを通じて、対戦ができるモードです。	Play against other players over a network connection.
0x161FFC	前回保存した戦闘の途中経過を読み込み、ゲームを再開します。	Load a save from the middle of a battle and continue.
0x162038	システムメニューを開きます。	Check system data and rules.
0x162058	モード選択を終了し、タイトル画面に戻ります。	Exit mode selection and return to main menu.
0x1620F4	オートセーブをＯＮにすると、 戦歴とカスタマイズ設定が自動で更新されます。	With auto save, your battle history and settings will update automatically.
0x162140	戦歴とカスタマイズ設定を保存するには タイトル画面でシステムデータを 手動で保存する必要があります。	To save your battle history and settings, you must manually save the system data from the menu.
0x1621A4	オートセーブをＯＮにします。	Enable Auto Save.
0x1621C4	オ?[トセーブをＯＦＦにします。 戦歴とカスタマイズ設定が 自動で更新されなくなりますがよろしいですか？	Disable Auto Save. Your battle history and settings will not update automatically. Is this okay?
0x16222C	戦歴とカスタマイズ設定が読み込まれませんが、 このままゲームを開始しますか？	Battle history and settings can't be loaded. Start the game anyway?
0x162278	システムデータの作成が完了していませんが、 このままゲームを開始しますか？	System data creation is not done yet. Do you still want to start the game?
0x1622C4	セーブデータの削除を行いますか？	Do you want to delete save data?
0x1622E8	システムデータを新たに作り直しますか？	Try rebuilding the system data?
0x162318	メモリースティックtmが挿入されていません。	No Memory StickTM can be found.
0x162344	アクセスエラーが発生しました。 メモリースティックtmを確認して下さい。	An access error has occurred. Please check the Memory Sticktm.
0x16238C	メモリースティックtmの空き容量が不足しています。	Insufficient space on Memory Sticktm to save.
